temperature_k,mole_fraction_<acetone>,pressure_kpa,mass_density_kg_m3
298.15,0.0,,1478.75
298.15,0.0997,,1419.64
298.15,0.1996,,1357.58
298.15,0.2993,,1293.35
298.15,0.3999,,1226.35
298.15,0.4979,,1159.27
298.15,0.599,,1088.31
298.15,0.6993,,1016.22
298.15,0.8008,,941.27
298.15,0.9006,,864.78
298.15,1.0,,784.41
303.15,0.0,,1469.16
303.15,0.0997,,1409.35
303.15,0.1996,,1347.6
303.15,0.2993,,1284.12
303.15,0.3999,,1217.87
303.15,0.4979,,1151.19
303.15,0.599,,1080.44
303.15,0.6993,,1008.68
303.15,0.8008,,934.43
303.15,0.9006,,858.83
303.15,1.0,,778.66
308.15,0.0,,1460.01
308.15,0.0997,,1402.33
308.15,0.1996,,1341.01
308.15,0.2993,,1276.96
308.15,0.3999,,1210.11
308.15,0.4979,,1143.34
308.15,0.599,,1073.05
308.15,0.6993,,1001.9
308.15,0.8008,,927.99
308.15,0.9006,,852.47
308.15,1.0,,773.08
313.15,0.0,,1450.39
313.15,0.0997,,1393.77
313.15,0.1996,,1332.05
313.15,0.2993,,1268.04
313.15,0.3999,,1201.58
313.15,0.4979,,1135.08
313.15,0.599,,1064.85
313.15,0.6993,,993.86
313.15,0.8008,,920.68
313.15,0.9006,,846.27
313.15,1.0,,766.95
318.15,0.0,,1440.03
318.15,0.0997,,1383.86
318.15,0.1996,,1322.43
318.15,0.2993,,1258.8
318.15,0.3999,,1192.83
318.15,0.4979,,1126.82
