temperature_k,pressure_kpa,mole_fraction_<acetone>,mass_density_kg_m3
337.69,970.0,0.801,700.39
337.69,4850.0,0.801,706.05
337.69,9830.0,0.7024,699.81
337.69,9840.0,0.492,680.33
337.69,9870.0,0.801,712.82
337.69,14820.0,0.7024,705.98
337.69,14860.0,0.801,719.01
337.69,14870.0,0.492,686.47
337.69,19850.0,0.801,724.74
337.69,19870.0,0.492,692.06
337.69,24790.0,0.7024,717.01
337.69,24840.0,0.492,697.27
337.69,24840.0,0.801,730.15
337.69,29870.0,0.492,702.18
337.69,39870.0,0.7024,731.35
337.69,49840.0,0.801,752.9
337.69,64830.0,0.801,764.19
337.69,84730.0,0.7024,763.81
337.69,89820.0,0.7024,766.84
337.69,94820.0,0.7024,769.76
337.69,99820.0,0.7024,772.57
337.69,104830.0,0.7024,775.31
337.69,109800.0,0.7024,777.96
337.69,114820.0,0.7024,780.54
337.69,119800.0,0.7024,783.06
337.69,124820.0,0.7024,785.53
337.69,129820.0,0.7024,787.95
337.7,930.0,0.7024,687.32
337.7,960.0,0.492,668.07
337.7,4830.0,0.7024,693.05
337.7,4860.0,0.611,683.33
337.7,4870.0,0.492,673.74
337.7,9860.0,0.611,690.06
337.7,14890.0,0.611,696.23
337.7,19800.0,0.7024,711.67
337.7,19850.0,0.611,701.87
337.7,24870.0,0.611,707.18
337.7,29860.0,0.611,712.16
337.7,29890.0,0.7024,722.13
337.7,34850.0,0.492,706.79
337.7,34850.0,0.611,716.83
337.7,34850.0,0.801,739.96
337.7,34880.0,0.7024,726.85
337.7,39850.0,0.492,711.17
337.7,39860.0,0.611,721.28
337.7,39860.0,0.801,744.5
337.7,44850.0,0.7024,735.58
337.7,44850.0,0.801,748.79
337.7,44860.0,0.611,725.53
337.7,49840.0,0.7024,739.64
