temperature_k,mole_fraction_<cyclohexane>,pressure_kpa,viscosity_pa_s
318.15,0.0,6895.0,0.002151
318.15,0.0,13790.0,0.002331
318.15,0.0,20680.0,0.002538
318.15,0.0,27580.0,0.002728
318.15,0.0,34470.0,0.00292
318.15,0.0,41370.0,0.003169
318.15,0.0,48260.0,0.003413
318.15,0.0,55160.0,0.003641
318.15,0.0,62050.0,0.003901
318.15,0.1,6895.0,0.001986
318.15,0.1,13790.0,0.00216
318.15,0.1,20680.0,0.002332
318.15,0.1,27580.0,0.002521
318.15,0.1,34470.0,0.002717
318.15,0.1,41370.0,0.002917
318.15,0.1,48260.0,0.003136
318.15,0.1,55160.0,0.003364
318.15,0.1,62050.0,0.003595
318.15,0.3,6895.0,0.001638
318.15,0.3,13790.0,0.001772
318.15,0.3,20680.0,0.001928
318.15,0.3,27580.0,0.00208
318.15,0.3,34470.0,0.002247
318.15,0.3,41370.0,0.00241
318.15,0.3,48260.0,0.002602
318.15,0.3,55160.0,0.002789
318.15,0.3,62050.0,0.00298
318.15,0.7,6895.0,0.001213
318.15,0.7,13790.0,0.001315
318.15,0.7,20680.0,0.001424
318.15,0.7,27580.0,0.001525
318.15,0.7,34470.0,0.001645
318.15,0.7,41370.0,0.001748
318.15,0.7,48260.0,0.00188
318.15,0.7,55160.0,0.002
318.15,0.7,62050.0,0.002128
318.15,0.9,6895.0,0.000864
318.15,0.9,13790.0,0.000941
318.15,0.9,20680.0,0.001016
318.15,0.9,27580.0,0.001095
318.15,0.9,34470.0,0.001225
318.15,0.9,41370.0,0.001319
318.15,0.9,48260.0,0.001408
318.15,0.9,55160.0,0.001508
318.15,0.9,62050.0,0.001635
318.15,1.0,6895.0,0.000671
318.15,1.0,13790.0,0.000726
318.15,1.0,20680.0,0.000785
318.15,1.0,27580.0,0.000839
318.15,1.0,34470.0,0.000906
