temperature_k,mole_fraction_<heptan-1-ol>,pressure_kpa,mass_density_kg_m3
298.15,0.0,100.0,679.5
298.15,0.0,1000.0,680.4
298.15,0.0,5000.0,684.2
298.15,0.0,10000.0,688.6
298.15,0.0,15000.0,692.8
298.15,0.0,20000.0,696.7
298.15,0.0,25000.0,700.4
298.15,0.0,30000.0,704.0
298.15,0.0,35000.0,707.4
298.15,0.0,40000.0,710.7
298.15,0.0,45000.0,713.8
298.15,0.0,50000.0,716.8
298.15,0.0,55000.0,719.7
298.15,0.0,60000.0,722.5
298.15,0.0,65000.0,725.2
298.15,0.0,70000.0,727.9
298.15,0.0,80000.0,732.9
298.15,0.0,90000.0,737.7
298.15,0.0,100000.0,742.3
298.15,0.0,110000.0,746.6
298.15,0.0,120000.0,750.7
298.15,0.0,130000.0,754.6
298.15,0.0,140000.0,758.4
313.15,0.0,100.0,666.6
313.15,0.0,1000.0,667.6
313.15,0.0,5000.0,671.8
313.15,0.0,10000.0,676.7
313.15,0.0,15000.0,681.3
313.15,0.0,20000.0,685.6
313.15,0.0,25000.0,689.5
313.15,0.0,30000.0,693.5
313.15,0.0,35000.0,697.1
313.15,0.0,40000.0,700.5
313.15,0.0,45000.0,703.9
313.15,0.0,50000.0,707.2
313.15,0.0,55000.0,710.3
313.15,0.0,60000.0,713.3
313.15,0.0,65000.0,716.1
313.15,0.0,70000.0,718.9
313.15,0.0,80000.0,724.2
313.15,0.0,90000.0,729.3
313.15,0.0,100000.0,734.0
313.15,0.0,110000.0,738.6
313.15,0.0,120000.0,742.8
313.15,0.0,130000.0,747.0
313.15,0.0,140000.0,751.1
333.15,0.0,100.0,648.9
333.15,0.0,1000.0,650.0
333.15,0.0,5000.0,655.0
333.15,0.0,10000.0,660.6
