temperature_k,mole_fraction_<methanol>,pressure_kpa,mass_density_kg_m3
298.15,0.0,,784.41
298.15,0.1036,,786.21
298.15,0.2043,,787.49
298.15,0.302,,788.57
298.15,0.4013,,789.53
298.15,0.5004,,790.3
298.15,0.6006,,790.81
298.15,0.6969,,790.98
298.15,0.802,,790.73
298.15,0.8965,,789.83
298.15,1.0,,787.21
303.15,0.0,,778.66
303.15,0.1036,,780.47
303.15,0.2043,,781.81
303.15,0.302,,782.95
303.15,0.4013,,784.0
303.15,0.5004,,784.89
303.15,0.6006,,785.55
303.15,0.6969,,785.85
303.15,0.802,,785.67
303.15,0.8965,,784.85
303.15,1.0,,782.75
308.15,0.0,,773.08
308.15,0.1036,,774.93
308.15,0.2043,,776.27
308.15,0.302,,777.4
308.15,0.4013,,778.45
308.15,0.5004,,779.36
308.15,0.6006,,780.05
308.15,0.6969,,780.38
308.15,0.802,,780.24
308.15,0.8965,,779.53
308.15,1.0,,777.56
313.15,0.0,,766.95
313.15,0.1036,,768.83
313.15,0.2043,,770.26
313.15,0.302,,771.49
313.15,0.4013,,772.65
313.15,0.5004,,773.67
313.15,0.6006,,774.49
313.15,0.6969,,775.01
313.15,0.802,,775.12
313.15,0.8965,,774.65
313.15,1.0,,772.97
318.15,0.0,,761.26
318.15,0.1036,,763.15
318.15,0.2043,,764.64
318.15,0.302,,765.92
318.15,0.4013,,767.11
318.15,0.5004,,768.17
