temperature_k,mole_fraction_<methanol>,pressure_kpa,viscosity_pa_s
293.0,0.0,,0.0008432
293.0,0.2808,,0.0008312
293.0,0.4676,,0.0008209
293.0,0.601,,0.0008018
293.0,0.7009,,0.0007699
293.0,0.7783,,0.0007256
293.0,0.8405,,0.000692
293.0,0.8913,,0.0006766
293.0,0.9335,,0.0006424
293.0,0.9693,,0.0006194
293.0,1.0,,0.000591
303.0,0.0,,0.000721
303.0,0.2808,,0.0007121
303.0,0.4676,,0.0006924
303.0,0.601,,0.0006821
303.0,0.7009,,0.0006572
303.0,0.7783,,0.0006093
303.0,0.8405,,0.0005828
303.0,0.8913,,0.0005672
303.0,0.9335,,0.0005401
303.0,0.9693,,0.000528
303.0,1.0,,0.000518
313.0,0.0,,0.0006247
313.0,0.2808,,0.0006157
313.0,0.4676,,0.0006041
313.0,0.601,,0.0005832
313.0,0.7009,,0.0005569
313.0,0.7783,,0.0005296
313.0,0.8405,,0.00051
313.0,0.8913,,0.0004961
313.0,0.9335,,0.0004701
313.0,0.9693,,0.0004591
313.0,1.0,,0.00045
