mole_fraction_<water>,pressure_kpa,temperature_k,mass_density_kg_m3
0.15,100.0,313.15,921.0
0.15,5000.0,313.15,923.39
0.15,10000.0,313.15,925.87
0.15,15000.0,313.15,928.23
0.15,20000.0,313.15,930.66
0.15,25000.0,313.15,932.91
0.15,30000.0,313.15,935.07
0.15,35000.0,313.15,937.31
0.15,40000.0,313.15,939.46
0.15,50000.0,313.15,943.78
0.15,60000.0,313.15,947.74
0.15,70000.0,313.15,951.68
0.15,80000.0,313.15,955.52
0.15,90000.0,313.15,959.12
0.15,100000.0,313.15,962.87
0.15,110000.0,313.15,966.42
0.15,120000.0,313.15,969.84
0.15,130000.0,313.15,973.22
0.15,140000.0,313.15,976.41
0.15,100.0,323.15,912.77
0.15,5000.0,323.15,915.45
0.15,10000.0,323.15,918.15
0.15,15000.0,323.15,920.66
0.15,20000.0,323.15,923.1
0.15,25000.0,323.15,925.53
0.15,30000.0,323.15,927.87
0.15,35000.0,323.15,929.99
0.15,40000.0,323.15,932.2
0.15,50000.0,323.15,936.51
0.15,60000.0,323.15,940.61
0.15,70000.0,323.15,944.57
0.15,80000.0,323.15,948.48
0.15,90000.0,323.15,952.34
0.15,100000.0,323.15,955.96
0.15,110000.0,323.15,959.64
0.15,120000.0,323.15,963.09
0.15,130000.0,323.15,966.48
0.15,140000.0,323.15,969.82
0.15,100.0,333.15,904.61
0.15,5000.0,333.15,907.03
0.15,10000.0,333.15,909.82
0.15,15000.0,333.15,912.37
0.15,20000.0,333.15,914.9
0.15,25000.0,333.15,917.35
0.15,30000.0,333.15,919.76
0.15,35000.0,333.15,922.18
0.15,40000.0,333.15,924.5
0.15,50000.0,333.15,929.07
0.15,60000.0,333.15,933.22
0.15,70000.0,333.15,937.49
