temperature_k,mole_fraction_<toluene>,pressure_kpa,viscosity_pa_s
298.15,0.0,,0.004105
298.15,0.0497,,0.003548
298.15,0.1007,,0.003087
298.15,0.1588,,0.002741
298.15,0.1993,,0.002427
298.15,0.252,,0.00211
298.15,0.2999,,0.001849
298.15,0.3495,,0.001619
298.15,0.4016,,0.001439
298.15,0.4468,,0.001318
298.15,0.5012,,0.001165
298.15,0.5502,,0.001061
298.15,0.6003,,0.000953
298.15,0.6492,,0.00092
298.15,0.7008,,0.000866
298.15,0.7476,,0.00084
298.15,0.8006,,0.000762
298.15,0.8502,,0.000686
298.15,0.8945,,0.000649
298.15,0.9407,,0.000638
298.15,1.0,,0.000554
308.15,0.0,,0.00292
308.15,0.0497,,0.002566
308.15,0.1007,,0.002273
308.15,0.1588,,0.001935
308.15,0.1993,,0.001703
308.15,0.252,,0.001519
308.15,0.2999,,0.001303
308.15,0.3495,,0.001153
308.15,0.4016,,0.001046
308.15,0.4468,,0.000962
308.15,0.5012,,0.00085
308.15,0.5502,,0.000794
308.15,0.6003,,0.000766
308.15,0.6492,,0.000689
308.15,0.7008,,0.000671
308.15,0.7476,,0.000611
308.15,0.8006,,0.000579
308.15,0.8502,,0.000561
308.15,0.8945,,0.000531
308.15,0.9407,,0.000527
308.15,1.0,,0.000496
