temperature_k,mole_fraction_<2-methoxy-2-methylpropane>,pressure_kpa,mass_density_kg_m3
288.15,0.0,,871.457
288.15,0.053,,864.558
288.15,0.116,,856.488
288.15,0.199,,845.884
288.15,0.301,,832.848
288.15,0.371,,824.068
288.15,0.463,,812.346
288.15,0.61,,793.998
288.15,0.688,,784.329
288.15,0.797,,770.803
288.15,0.902,,757.81
288.15,0.943,,752.561
288.15,1.0,,744.861
290.65,0.0,,869.144
290.65,0.053,,862.236
290.65,0.116,,854.153
290.65,0.199,,843.533
290.65,0.301,,830.472
290.65,0.371,,821.675
290.65,0.463,,809.929
290.65,0.61,,791.542
290.65,0.688,,781.848
290.65,0.797,,768.289
290.65,0.902,,755.262
290.65,0.943,,750.0
290.65,1.0,,742.259
293.15,0.0,,866.823
293.15,0.053,,859.905
293.15,0.116,,851.805
293.15,0.199,,841.167
293.15,0.301,,828.083
293.15,0.371,,819.27
293.15,0.463,,807.497
293.15,0.61,,789.068
293.15,0.688,,779.352
293.15,0.797,,765.757
293.15,0.902,,752.693
293.15,0.943,,747.415
293.15,1.0,,739.654
295.65,0.0,,864.5
295.65,0.053,,857.569
295.65,0.116,,849.458
295.65,0.199,,838.799
295.65,0.301,,825.688
295.65,0.371,,816.857
295.65,0.463,,805.058
295.65,0.61,,786.587
295.65,0.688,,776.847
295.65,0.797,,763.216
295.65,0.902,,750.116
