temperature_k,mole_fraction_<aniline>,pressure_kpa,mass_density_kg_m3
293.15,0.0,,803.71
293.15,0.0582,,819.8
293.15,0.1177,,835.75
293.15,0.1628,,847.49
293.15,0.2056,,858.38
293.15,0.2582,,871.43
293.15,0.3156,,885.26
293.15,0.3612,,895.95
293.15,0.4112,,907.36
293.15,0.4585,,917.88
293.15,0.5106,,929.18
293.15,0.5574,,939.05
293.15,0.6141,,950.71
293.15,0.6603,,959.93
293.15,0.7209,,971.73
293.15,0.7646,,980.01
293.15,0.8114,,988.68
293.15,0.8624,,997.9
293.15,0.9041,,1005.28
293.15,0.9525,,1013.66
293.15,1.0,,1021.71
298.15,0.0,,799.74
298.15,0.0582,,815.77
298.15,0.1177,,831.66
298.15,0.1628,,843.36
298.15,0.2056,,854.21
298.15,0.2582,,867.22
298.15,0.3156,,881.01
298.15,0.3612,,891.67
298.15,0.4112,,903.06
298.15,0.4585,,913.56
298.15,0.5106,,924.84
298.15,0.5574,,934.71
298.15,0.6141,,946.36
298.15,0.6603,,955.59
298.15,0.7209,,967.39
298.15,0.7646,,975.67
298.15,0.8114,,984.34
298.15,0.8624,,993.58
298.15,0.9041,,1000.97
298.15,0.9525,,1009.37
298.15,1.0,,1017.44
303.15,0.0,,795.77
303.15,0.0582,,811.74
303.15,0.1177,,827.56
303.15,0.1628,,839.22
303.15,0.2056,,850.04
303.15,0.2582,,863.01
303.15,0.3156,,876.76
303.15,0.3612,,887.39
