temperature_k,pressure_kpa,mole_fraction_<dimethyl carbonate>,mass_density_kg_m3
288.15,100.0,0.0253,810.84
288.15,100.0,0.0503,824.62
288.15,100.0,0.0745,837.24
288.15,100.0,0.101,850.42
288.15,100.0,0.1502,872.98
288.15,100.0,0.2059,896.31
288.15,100.0,0.25,913.24
288.15,100.0,0.3004,930.93
288.15,100.0,0.3426,944.7
288.15,100.0,0.3984,961.49
288.15,100.0,0.4514,976.13
288.15,100.0,0.5054,989.85
288.15,100.0,0.5509,1000.55
288.15,100.0,0.6002,1011.31
288.15,100.0,0.6469,1020.74
288.15,100.0,0.6993,1030.63
288.15,100.0,0.7496,1039.53
288.15,100.0,0.799,1047.69
288.15,100.0,0.837,1053.71
288.15,100.0,0.9093,1064.47
288.15,100.0,0.9239,1066.51
288.15,100.0,0.9575,1071.14
288.15,100.0,0.9861,1074.98
288.15,5000.0,0.0253,815.18
288.15,5000.0,0.0503,828.97
288.15,5000.0,0.0745,841.59
288.15,5000.0,0.101,854.82
288.15,5000.0,0.1502,877.39
288.15,5000.0,0.2059,900.74
288.15,5000.0,0.25,917.63
288.15,5000.0,0.3004,935.33
288.15,5000.0,0.3426,949.1
288.15,5000.0,0.3984,965.91
288.15,5000.0,0.4514,980.55
288.15,5000.0,0.5054,994.22
288.15,5000.0,0.5509,1004.93
288.15,5000.0,0.6002,1015.7
288.15,5000.0,0.6469,1025.14
288.15,5000.0,0.6993,1035.03
288.15,5000.0,0.7496,1043.88
288.15,5000.0,0.799,1052.04
288.15,5000.0,0.837,1058.02
288.15,5000.0,0.9093,1068.78
288.15,5000.0,0.9239,1070.83
288.15,5000.0,0.9575,1075.46
288.15,5000.0,0.9861,1079.3
288.15,10000.0,0.0253,819.54
288.15,10000.0,0.0503,833.29
288.15,10000.0,0.0745,845.92
288.15,10000.0,0.101,859.16
