temperature_k,pressure_kpa,mole_fraction_<ethanol>,mass_density_kg_m3
298.15,100.0,0.003,995.3
298.15,100.0,0.0042,994.5
298.15,100.0,0.0082,993.0
298.15,100.0,0.0119,991.5
298.15,100.0,0.0158,989.8
298.15,100.0,0.0184,988.4
298.15,100.0,0.0219,987.6
298.15,100.0,0.0255,986.0
298.15,100.0,0.0279,984.7
298.15,100.0,0.0315,984.0
298.15,100.0,0.0366,981.6
298.15,100.0,0.0392,980.7
298.15,100.0,0.0439,979.2
298.15,100.0,0.0483,977.5
298.15,100.0,0.0516,977.1
298.15,100.0,0.0559,975.8
298.15,100.0,0.06,974.5
298.15,100.0,0.0652,972.9
298.15,100.0,0.0679,972.2
298.15,100.0,0.0722,971.0
298.15,100.0,0.0801,968.6
298.15,100.0,0.084,967.9
298.15,100.0,0.0879,966.7
298.15,100.0,0.0926,965.6
298.15,100.0,0.0958,964.6
298.15,100.0,0.1006,963.2
298.15,100.0,0.1111,960.2
298.15,100.0,0.1225,956.8
298.15,100.0,0.1296,954.9
298.15,100.0,0.1402,951.8
298.15,100.0,0.151,948.4
298.15,100.0,0.1601,945.6
298.15,100.0,0.1703,942.5
298.15,100.0,0.18,939.8
298.15,100.0,0.1903,936.5
298.15,100.0,0.1996,933.5
298.15,100.0,0.2269,925.4
298.15,100.0,0.2502,918.5
298.15,100.0,0.2745,911.7
298.15,100.0,0.3009,904.5
298.15,100.0,0.35,891.9
298.15,100.0,0.4034,879.4
298.15,100.0,0.4501,868.8
298.15,100.0,0.498,859.3
298.15,100.0,0.5501,849.5
298.15,100.0,0.5998,840.9
298.15,100.0,0.6489,832.7
298.15,100.0,0.6967,825.2
298.15,100.0,0.7475,818.2
298.15,100.0,0.7996,810.9
