temperature_k,mole_fraction_<ethyl methanoate>,pressure_kpa,mass_density_kg_m3
291.15,0.0,,731.24
291.15,0.0369,,733.67
291.15,0.0776,,735.97
291.15,0.0978,,737.54
291.15,0.134,,740.05
291.15,0.1725,,742.85
291.15,0.1933,,744.66
291.15,0.257,,750.31
291.15,0.3043,,754.75
291.15,0.4065,,766.41
291.15,0.5031,,779.53
291.15,0.6097,,797.49
291.15,0.6965,,815.77
291.15,0.7487,,828.5
291.15,0.7966,,841.64
291.15,0.8479,,857.71
291.15,0.8993,,876.59
291.15,0.9515,,898.85
291.15,1.0,,924.7
298.15,0.0,,726.26
298.15,0.0613,,729.71
298.15,0.1265,,734.08
298.15,0.1845,,738.4
298.15,0.24,,742.88
298.15,0.3359,,752.24
298.15,0.4224,,762.26
298.15,0.5,,772.57
298.15,0.5684,,783.54
298.15,0.6307,,794.86
298.15,0.6827,,805.36
298.15,0.7324,,816.84
298.15,0.7802,,828.91
298.15,0.8172,,839.7
298.15,0.8519,,851.25
298.15,0.8895,,864.02
298.15,0.9193,,876.39
298.15,0.9496,,889.23
298.15,0.9781,,902.17
298.15,1.0,,915.16
308.15,0.0,,717.9
308.15,0.0575,,721.82
308.15,0.0851,,723.08
308.15,0.1229,,725.68
308.15,0.1878,,730.48
308.15,0.2373,,734.34
308.15,0.2993,,739.84
308.15,0.4007,,750.53
308.15,0.4266,,753.53
308.15,0.5665,,773.36
308.15,0.6829,,795.01
