temperature_k,mole_fraction_<methanol>,pressure_kpa,mass_density_kg_m3
293.0,0.0,,1105.8
293.0,0.2808,,1066.5
293.0,0.4676,,1029.2
293.0,0.601,,993.9
293.0,0.7009,,960.5
293.0,0.7783,,928.8
293.0,0.8405,,898.5
293.0,0.8913,,869.7
293.0,0.9335,,842.3
293.0,0.9693,,816.2
293.0,1.0,,791.1
303.0,0.0,,1095.0
303.0,0.2808,,1056.0
303.0,0.4676,,1019.0
303.0,0.601,,983.7
303.0,0.7009,,950.4
303.0,0.7783,,918.9
303.0,0.8405,,888.8
303.0,0.8913,,860.1
303.0,0.9335,,832.9
303.0,0.9693,,806.8
303.0,1.0,,781.9
313.0,0.0,,1082.0
313.0,0.2808,,1044.0
313.0,0.4676,,1007.0
313.0,0.601,,972.5
313.0,0.7009,,939.4
313.0,0.7783,,908.1
313.0,0.8405,,878.3
313.0,0.8913,,849.9
313.0,0.9335,,822.9
313.0,0.9693,,797.1
313.0,1.0,,772.4
