mole_fraction_<propan-1-ol>,pressure_kpa,temperature_k,viscosity_pa_s
0.0,100.0,293.15,0.00059
0.0,100.0,313.15,0.000469
0.0,100.0,333.15,0.00038
0.0,100.0,353.15,0.000318
0.0,20000.0,293.15,0.000687
0.0,20000.0,313.15,0.000546
0.0,20000.0,333.15,0.000446
0.0,20000.0,353.15,0.000372
0.0,40000.0,293.15,0.000791
0.0,40000.0,313.15,0.000628
0.0,40000.0,333.15,0.000513
0.0,40000.0,353.15,0.000428
0.0,60000.0,293.15,0.000903
0.0,60000.0,313.15,0.000715
0.0,60000.0,333.15,0.000584
0.0,60000.0,353.15,0.000487
0.0,80000.0,293.15,0.001024
0.0,80000.0,313.15,0.000807
0.0,80000.0,333.15,0.000657
0.0,80000.0,353.15,0.000548
0.0,100000.0,293.15,0.001156
0.0,100000.0,313.15,0.000906
0.0,100000.0,333.15,0.000735
0.0,100000.0,353.15,0.000612
0.125,100.0,293.15,0.000611
0.125,100.0,313.15,0.000479
0.125,100.0,333.15,0.000388
0.125,100.0,353.15,0.000322
0.125,20000.0,293.15,0.000698
0.125,20000.0,313.15,0.000548
0.125,20000.0,333.15,0.000443
0.125,20000.0,353.15,0.000367
0.125,40000.0,293.15,0.000799
0.125,40000.0,313.15,0.000625
0.125,40000.0,333.15,0.000512
0.125,40000.0,353.15,0.000421
0.125,60000.0,293.15,0.000905
0.125,60000.0,313.15,0.000704
0.125,60000.0,333.15,0.000581
0.125,60000.0,353.15,0.000477
0.125,80000.0,293.15,0.001018
0.125,80000.0,313.15,0.000788
0.125,80000.0,333.15,0.00065
0.125,80000.0,353.15,0.000535
0.125,100000.0,293.15,0.001137
0.125,100000.0,313.15,0.000877
0.125,100000.0,333.15,0.000719
0.125,100000.0,353.15,0.000597
0.25,100.0,293.15,0.000636
0.25,100.0,313.15,0.000495
