alias,canonical_unit,scale,offset,notes
1,1,1,0,dimensionless
%,1,0.01,0,percent to fraction
percent,1,0.01,0,percent to fraction
K,K,1,0,kelvin
C,K,1,273.15,degrees Celsius
degC,K,1,273.15,degrees Celsius
°C,K,1,273.15,degrees Celsius
degF,K,0.5555555555555556,255.3722222222222,degrees Fahrenheit
°F,K,0.5555555555555556,255.3722222222222,degrees Fahrenheit
kPa,kPa,1,0,kilopascal
Pa,kPa,0.001,0,pascal
MPa,kPa,1000,0,megapascal
bar,kPa,100,0,bar
mbar,kPa,0.1,0,millibar
atm,kPa,101.325,0,standard atmosphere
torr,kPa,0.1333223684210526,0,torr
mmHg,kPa,0.133322387415,0,millimetre mercury
psi,kPa,6.894757293168,0,pound per square inch
Pa*s,Pa*s,1,0,pascal second
mPa*s,Pa*s,0.001,0,millipascal second
cP,Pa*s,0.001,0,centipoise
P,Pa*s,0.1,0,poise
kg/m3,kg/m3,1,0,kilogram per cubic metre
g/cm3,kg/m3,1000,0,gram per cubic centimetre
g/mL,kg/m3,1000,0,gram per millilitre
m3/mol,m3/mol,1,0,cubic metre per mole
dm3/mol,m3/mol,0.001,0,cubic decimetre per mole
L/mol,m3/mol,0.001,0,litre per mole
cm3/mol,m3/mol,0.000001,0,cubic centimetre per mole
m6/mol2,m6/mol2,1,0,squared molar-volume unit
mol/dm3,mol/dm3,1,0,mole per cubic decimetre
mol/L,mol/dm3,1,0,mole per litre
mmol/L,mol/dm3,0.001,0,millimole per litre
mol/m3,mol/m3,1,0,mole per cubic metre
mol/kg,mol/kg,1,0,molality
mmol/g,mol/kg,1,0,millimole per gram
m3/kg,m3/kg,1,0,specific volume
kJ/mol,kJ/mol,1,0,kilojoule per mole
J/mol,kJ/mol,0.001,0,joule per mole
cal/mol,kJ/mol,0.004184,0,calorie per mole
kcal/mol,kJ/mol,4.184,0,kilocalorie per mole
J/(K mol),J/(K mol),1,0,molar heat capacity
J/(K*mol),J/(K mol),1,0,molar heat capacity alias
J/(mol*K),J/(K mol),1,0,molar heat capacity alias
kJ/(K mol),J/(K mol),1000,0,kilojoule heat capacity
J/(K m3),J/(K m3),1,0,volumetric heat capacity
J/(K*m3),J/(K m3),1,0,volumetric heat capacity alias
kJ/(K m3),J/(K m3),1000,0,kilojoule volumetric heat capacity
J/(K kg),J/(K kg),1,0,specific heat capacity
J/(K*kg),J/(K kg),1,0,specific heat capacity alias
kJ/(K kg),J/(K kg),1000,0,kilojoule specific heat capacity
J/g,J/g,1,0,specific energy
kJ/kg,J/g,1,0,same SI magnitude
m2/s,m2/s,1,0,diffusivity
cm2/s,m2/s,0.0001,0,square centimetre per second
mm2/s,m2/s,0.000001,0,square millimetre per second
S/m,S/m,1,0,electrical conductivity
mS/cm,S/m,0.1,0,millisiemens per centimetre
uS/cm,S/m,0.0001,0,microsiemens per centimetre
µS/cm,S/m,0.0001,0,microsiemens per centimetre
S*m2/mol,S*m2/mol,1,0,molar conductivity
mS*m2/mol,S*m2/mol,0.001,0,millisiemens molar conductivity
N/m,N/m,1,0,surface tension
mN/m,N/m,0.001,0,millinewton per metre
1/K,1/K,1,0,inverse kelvin
1/kPa,1/kPa,1,0,inverse kilopascal
1/Pa,1/kPa,1000,0,inverse pascal
K/kPa,K/kPa,1,0,joule Thomson coefficient
K/MPa,K/kPa,0.001,0,kelvin per megapascal
MHz,MHz,1,0,megahertz
Hz,MHz,0.000001,0,hertz
kHz,MHz,0.001,0,kilohertz
GHz,MHz,1000,0,gigahertz
nm,nm,1,0,nanometre
um,nm,1000,0,micrometre
µm,nm,1000,0,micrometre
m/s,m/s,1,0,metre per second
km/s,m/s,1000,0,kilometre per second
W/(m K),W/(m K),1,0,thermal conductivity
W/(m*K),W/(m K),1,0,thermal conductivity alias
mW/(m K),W/(m K),0.001,0,milliwatt thermal conductivity
kPa/K,kPa/K,1,0,thermal pressure coefficient
MPa/K,kPa/K,1000,0,megapascal per kelvin
kPa*dm3/mol,kPa*dm3/mol,1,0,Henry amount concentration scale
Pa*m3/mol,kPa*dm3/mol,1,0,equivalent SI magnitude
kPa*kg/mol,kPa*kg/mol,1,0,Henry molality scale
Pa*kg/mol,kPa*kg/mol,0.001,0,pascal kilogram per mole
kPa^n,kPa^n,1,0,formal pressure-power unit
