comp_num_id,comp_id,inchi_key,common_name,formula,smiles,standard_inchi,n_papers
GLOBcomp_1,water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,H2O,O,InChI=1S/H2O/h1H2,4690
GLOBcomp_2,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,C2H6O,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",1880
GLOBcomp_3,carbon_dioxide,CURLTUGMZLYLDI-UHFFFAOYSA-N,carbon dioxide,CO2,O=C=O,InChI=1S/CO2/c2-1-3,1421
GLOBcomp_4,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,CH4O,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",1393
GLOBcomp_5,propan-1-ol,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,C3H8O,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1050
GLOBcomp_6,propan-2-ol,KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,C3H8O,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",996
GLOBcomp_7,butan-1-ol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,C4H10O,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",913
GLOBcomp_8,toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,C7H8,Cc1ccccc1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",857
GLOBcomp_9,acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,C3H6O,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,742
GLOBcomp_10,ethyl_acetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl acetate,C4H8O2,CCOC(C)=O,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",679
GLOBcomp_11,heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,C7H16,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",637
GLOBcomp_12,hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,hexane,C6H14,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",607
GLOBcomp_13,cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,C6H12,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,595
GLOBcomp_14,benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,C6H6,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,581
GLOBcomp_15,acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,acetonitrile,C2H3N,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,552
GLOBcomp_16,oxygen,MYMOFIZGZYHOMD-UHFFFAOYSA-N,oxygen,O2,O=O,InChI=1S/O2/c1-2,461
GLOBcomp_17,octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,C8H18,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",425
GLOBcomp_18,dimethylformamide,ZMXDDKWLCZADIW-UHFFFAOYSA-N,dimethylformamide,C3H7NO,CN(C)C=O,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",389
GLOBcomp_19,nitrogen,IJGRMHOSHXDMSA-UHFFFAOYSA-N,nitrogen,N2,N#N,InChI=1S/N2/c1-2,330
GLOBcomp_20,butan-2-ol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,C4H10O,CCC(C)O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",329
GLOBcomp_21,decane,DIOQZVSQGTUSAI-UHFFFAOYSA-N,decane,C10H22,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",323
GLOBcomp_22,pentan-1-ol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,C5H12O,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",315
GLOBcomp_23,tetrahydrofuran,WYURNTSHIVDZCO-UHFFFAOYSA-N,tetrahydrofuran,C4H8O,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,314
GLOBcomp_24,"1,2-ethanediol",LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",C2H6O2,OCCO,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",311
GLOBcomp_25,"1,4-dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",C4H8O2,C1COCCO1,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,308
GLOBcomp_26,sodium_chloride,FAPWRFPIFSIZLT-UHFFFAOYSA-M,sodium chloride,ClNa,[Cl-].[Na+],InChI=1S/ClH.Na/h1H;/q;+1/p-1,293
GLOBcomp_27,ethylbenzene,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ethylbenzene,C8H10,CCc1ccccc1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",292
GLOBcomp_28,"1,4-dimethylbenzene",URLKBWYHVLBVBO-UHFFFAOYSA-N,"1,4-dimethylbenzene",C8H10,Cc1ccc(C)cc1,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",289
GLOBcomp_29,2-methyl-1-propanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,C4H10O,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",274
GLOBcomp_30,"1,2-dimethylbenzene",CTQNGGLPUBDAKN-UHFFFAOYSA-N,"1,2-dimethylbenzene",C8H10,Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",253
GLOBcomp_31,dimethyl_sulfoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,C2H6OS,CS(C)=O,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,253
GLOBcomp_32,"1,3-dimethylbenzene",IVSZLXZYQVIEFR-UHFFFAOYSA-N,"1,3-dimethylbenzene",C8H10,Cc1cccc(C)c1,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",252
GLOBcomp_33,nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,C9H20,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",248
GLOBcomp_34,octan-1-ol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,octan-1-ol,C8H18O,CCCCCCCCO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",248
GLOBcomp_35,acetic_acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,C2H4O2,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",229
GLOBcomp_36,1-butyl-3-methylimidazolium_tetrafluoroborate,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1",220
GLOBcomp_37,"2,2,4-trimethylpentane",NHTMVDHEPJAVLT-UHFFFAOYSA-N,"2,2,4-trimethylpentane",C8H18,CC(C)CC(C)(C)C,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",217
