constr_num_id,constr_id,constr_name,constr_type_key,comp_id_linked,n_blocks
GLOBconstr_1,pressure_kpa,"Pressure, kPa",ePressure,0,69491
GLOBconstr_2,temperature_k,"Temperature, K",eTemperature,0,15426
GLOBconstr_3,mole_fraction_{DOIcomp_id},Mole fraction,eComponentComposition,1,11333
GLOBconstr_4,frequency_mhz,"Frequency, MHz",eMiscellaneous,0,1885
GLOBconstr_5,mass_fraction_{DOIcomp_id},Mass fraction,eComponentComposition,1,482
GLOBconstr_6,solvent_molality_mol_kg_{DOIcomp_id},"Solvent: Molality, mol/kg",eSolventComposition,1,469
GLOBconstr_7,solvent_mole_fraction_{DOIcomp_id},Solvent: Mole fraction,eSolventComposition,1,444
GLOBconstr_8,molality_mol_kg_{DOIcomp_id},"Molality, mol/kg",eComponentComposition,1,431
GLOBconstr_9,wavelength_nm,"Wavelength, nm",eMiscellaneous,0,246
GLOBconstr_10,solvent_mass_fraction_{DOIcomp_id},Solvent: Mass fraction,eSolventComposition,1,228
GLOBconstr_11,solvent_amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Solvent: Amount concentration (molarity), mol/dm3",eSolventComposition,1,202
GLOBconstr_12,amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Amount concentration (molarity), mol/dm3",eComponentComposition,1,170
GLOBconstr_13,amount_ratio_of_solute_to_solvent_{DOIcomp_id},Amount ratio of solute to solvent,eComponentComposition,1,107
GLOBconstr_14,initial_molality_of_solute_mol_kg,"Initial molality of solute, mol/kg",eComponentComposition,0,71
GLOBconstr_15,solvent_amount_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Amount ratio of component to other component of binary solvent,eSolventComposition,1,67
GLOBconstr_16,final_molality_of_solute_mol_kg,"Final molality of solute, mol/kg",eComponentComposition,0,49
GLOBconstr_17,ratio_of_amount_of_solute_to_mass_of_solution_mol_kg_{DOIcomp_id},"Ratio of amount of solute to mass of solution, mol/kg",eComponentComposition,1,48
GLOBconstr_18,pressure_kpa_{DOIcomp_id},"Pressure, kPa",ePressure,1,41
GLOBconstr_19,solvent_mass_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Mass ratio of component to other component of binary solvent,eSolventComposition,1,30
GLOBconstr_20,solvent_volume_fraction_{DOIcomp_id},Solvent: Volume fraction,eSolventComposition,1,26
GLOBconstr_21,mass_ratio_of_solute_to_solvent_{DOIcomp_id},Mass ratio of solute to solvent,eComponentComposition,1,12
GLOBconstr_22,volume_fraction_{DOIcomp_id},Volume fraction,eComponentComposition,1,9
GLOBconstr_23,mass_density_kg_m3,"Mass density, kg/m3",eMiscellaneous,0,8
GLOBconstr_24,solvent_ratio_of_component_mass_to_volume_of_solvent_kg_m3_{DOIcomp_id},"Solvent: Ratio of component mass to volume of solvent, kg/m3",eSolventComposition,1,2
GLOBconstr_25,final_mass_fraction_of_solute,Final mass fraction of solute,eComponentComposition,0,1
