source_method_name,source_method_type,meas_num_id,meas_id,n_blocks
 UV spectrophotometry,custom,GLOBmeas_195,uv_spectrophotometry,6
"""equal volume"" method",custom,GLOBmeas_367,equal_volume_method,1
"""vacuum sublimation"" drop microcalorimetric method",custom,GLOBmeas_2254,vacuum_sublimation_drop_microcalorimetric_method,1
(Schmidt +Haensch) refractometer (Model DSR lambda),custom,GLOBmeas_868,schmidt_haensch_refractometer_model_dsr_lambda,6
1H-NMR Spectroscopy,custom,GLOBmeas_1204,1h_nmr_spectroscopy,3
2 term dubye huckel,custom,GLOBmeas_1764,2_term_dubye_huckel,1
2-Drop Calorimetry,custom,GLOBmeas_769,2_drop_calorimetry,2
2-drop calorimeter,custom,GLOBmeas_505,2_drop_calorimeter,12
2-drop calorimeter (CSC 4600_,custom,GLOBmeas_1017,2_drop_calorimeter_csc_4600,4
2-drop calorimetry,custom,GLOBmeas_769,2_drop_calorimetry,4
298.15,custom,GLOBmeas_1763,298_15,1
2AWJ refractometer,custom,GLOBmeas_1419,2awj_refractometer,2
4-L gasometer (Vinci Technologies),custom,GLOBmeas_1765,4_l_gasometer_vinci_technologies,1
4510 conductivity meter,custom,GLOBmeas_1420,4510_conductivity_meter,2
"4510 conductivity meter (Jenway, UK)",custom,GLOBmeas_1421,4510_conductivity_meter_jenway_uk,2
?,custom,GLOBmeas_592,unreported_measurement_method,10
A Knauer K-7000 vapor pressure osmometer,custom,GLOBmeas_891,a_knauer_k_7000_vapor_pressure_osmometer,5
ABBE::UFactor:16,custom,GLOBmeas_316,abbe_ufactor_16,9
ABBE::UFactor:2,custom,GLOBmeas_157,abbe_ufactor_2,67
ABBE::UFactor:24,custom,GLOBmeas_480,abbe_ufactor_24,7
ABBE::UFactor:3,custom,GLOBmeas_598,abbe_ufactor_3,3
ABBE::UFactor:4,custom,GLOBmeas_163,abbe_ufactor_4,39
ABBE::UFactor:6,custom,GLOBmeas_240,abbe_ufactor_6,13
ABBE::UFactor:8,custom,GLOBmeas_260,abbe_ufactor_8,6
ABBE:UFactor:12,custom,GLOBmeas_1019,abbe_ufactor_12,4
ABBE:UFactor:16,custom,GLOBmeas_316,abbe_ufactor_16,21
ABBE:UFactor:2,custom,GLOBmeas_157,abbe_ufactor_2,189
ABBE:UFactor:24,custom,GLOBmeas_480,abbe_ufactor_24,6
ABBE:UFactor:3,custom,GLOBmeas_598,abbe_ufactor_3,6
ABBE:UFactor:32,custom,GLOBmeas_1207,abbe_ufactor_32,3
ABBE:UFactor:4,custom,GLOBmeas_163,abbe_ufactor_4,188
ABBE:UFactor:6,custom,GLOBmeas_240,abbe_ufactor_6,41
ABBE:UFactor:8,custom,GLOBmeas_260,abbe_ufactor_8,38
ABBE:dT:0.01,custom,GLOBmeas_461,abbe_dt_0_01,14
ABBE:dT:0.01:dT:0.01,custom,GLOBmeas_1766,abbe_dt_0_01_dt_0_01,1
ABBE:mixvol,custom,GLOBmeas_1205,abbe_mixvol,3
ABBE:monoch,custom,GLOBmeas_256,abbe_monoch,46
ABBE:monoch:UFactor:2,custom,GLOBmeas_1018,abbe_monoch_ufactor_2,4
ABBE:monoch:UFactor:4,custom,GLOBmeas_1422,abbe_monoch_ufactor_4,2
ABBE:monoch:UFactor:4:dT:0.01,custom,GLOBmeas_1206,abbe_monoch_ufactor_4_dt_0_01,3
