meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_1,chromatography,Chromatography,standard,21484,3
GLOBmeas_2,vibrating_tube_method,Vibrating tube method,standard,13110,1
GLOBmeas_3,standard_abbe_refractometry,Standard Abbe refractometry,standard,6115,1
GLOBmeas_4,capillary_tube_ostwald_ubbelohde_method,Capillary tube (Ostwald; Ubbelohde) method,standard,3407,1
GLOBmeas_5,ebulliometric_method_recirculating_still,Ebulliometric method (Recirculating still),standard,3244,1
GLOBmeas_6,pycnometric_method,Pycnometric method,standard,2664,1
GLOBmeas_7,sing_around_technique_in_a_fixed_path_interferometer,Sing-around technique in a fixed-path interferometer,standard,2259,1
GLOBmeas_8,falling_or_rolling_sphere_viscometry,Falling or rolling sphere viscometry,standard,1243,1
GLOBmeas_9,small_sample_50mg_dsc,Small sample (50 mg) DSC,standard,1173,1
GLOBmeas_10,density_calibration_data,Density calibration data,standard,1172,2
GLOBmeas_11,concentric_cylinders_viscometry,Concentric cylinders viscometry,standard,1082,1
GLOBmeas_12,flow_calorimetry,Flow calorimetry,standard,1003,1
GLOBmeas_13,calvet_calorimetry,Calvet calorimetry,standard,919,3
GLOBmeas_14,alternating_current_cell_with_electrodes,Alternating current cell with electrodes,standard,906,1
GLOBmeas_15,linear_variable_path_acoustic_interferometer,Linear variable-path acoustic interferometer,standard,905,1
GLOBmeas_16,phase_equilibration,Phase equilibration,standard,873,4
GLOBmeas_17,vacuum_adiabatic_calorimetry,Vacuum adiabatic calorimetry,standard,778,1
GLOBmeas_18,single_path_length_method,Single path-length method,standard,732,1
GLOBmeas_19,ring_tensiometer,Ring tensiometer,standard,720,2
GLOBmeas_20,pulse_echo_method,Pulse-echo method,standard,702,1
GLOBmeas_21,small_less_than_1g_adiabatic_calorimetry,Small (less than 1 g) adiabatic calorimetry,standard,606,1
GLOBmeas_22,pendant_drop_shape,Pendant drop shape,standard,595,2
GLOBmeas_23,transpiration_method,Transpiration method,standard,585,1
GLOBmeas_24,index_of_refraction_calibration_data,Index of refraction calibration data,standard,522,1
GLOBmeas_25,titration_calorimetry,Titration calorimetry,standard,513,4
GLOBmeas_26,static_bomb_calorimetry,Static bomb calorimetry,standard,472,1
GLOBmeas_27,correlation_gas_chromatography,Correlation gas chromatography,standard,394,5
GLOBmeas_28,drop_calorimetry,Drop calorimetry,standard,390,4
GLOBmeas_29,calculated_with_densities_of_this_investigation,Calculated with densities of this investigation,standard,370,1
GLOBmeas_30,adiabatic_calorimetry,Adiabatic calorimetry,standard,355,1
GLOBmeas_31,large_sample_1g_dsc,Large sample (1 g) DSC,standard,343,1
GLOBmeas_32,drop_volume,Drop volume,standard,311,1
GLOBmeas_33,cone_and_plate_viscometry,Cone and plate viscometry,standard,291,1
GLOBmeas_34,power_compensation_calorimetry,Power-compensation calorimetry,standard,291,2
GLOBmeas_35,gas_chromatography,Gas chromatography,standard,287,4
GLOBmeas_36,maximal_bubble_pressure,Maximal bubble pressure,standard,286,1
GLOBmeas_37,visual_observation_in_an_unstirred_cell,Visual observation in an unstirred cell,standard,284,1
GLOBmeas_38,taylor_dispersion_method,Taylor dispersion method,standard,280,2
GLOBmeas_39,by_x_y,By X=Y,standard,265,1
GLOBmeas_40,derived_from_phase_diagram_analysis,Derived from phase diagram analysis,standard,246,1
GLOBmeas_41,hot_wire_method,Hot wire method,standard,245,2
GLOBmeas_42,rotating_bomb_calorimetry,Rotating bomb calorimetry,standard,236,1
GLOBmeas_43,direct_measurement,Direct measurement,standard,234,1
GLOBmeas_44,solution_calorimetry,Solution calorimetry,standard,227,3
GLOBmeas_45,x_ray_diffraction,X-ray diffraction,standard,224,3
GLOBmeas_46,parallel_plate_capacitor,Parallel plate capacitor,standard,199,1
GLOBmeas_47,derived_by_second_law,Derived by Second law,standard,189,1
GLOBmeas_48,static_calorimetry,Static calorimetry,standard,182,1
GLOBmeas_49,direct_current_cell_with_electrodes,Direct current cell with electrodes,standard,164,1
GLOBmeas_50,buoyancy_hydrostatic_balance_with_magnetic_suspension_one_sinker,Buoyancy - hydrostatic balance with magnetic suspension - one sinker,standard,151,1
GLOBmeas_51,vibrating_wire_viscometry,Vibrating wire viscometry,standard,141,1
GLOBmeas_52,distillation,Distillation,standard,128,1
GLOBmeas_53,coaxial_cylinder_capacitor,Coaxial cylinder capacitor,standard,126,1
