phase_num_id,phase_id,phase_name,n_occurrences
GLOBphase_1,liquid,Liquid,203122
GLOBphase_2,crystal,Crystal,33615
GLOBphase_3,gas,Gas,31712
GLOBphase_4,liquid_mixture_1,Liquid mixture 1,18802
GLOBphase_5,liquid_mixture_2,Liquid mixture 2,14711
GLOBphase_6,air_at_1_atmosphere,Air at 1 atmosphere,9492
GLOBphase_7,crystal_1,Crystal 1,3640
GLOBphase_8,crystal_2,Crystal 2,3040
GLOBphase_9,ideal_gas,Ideal gas,1892
GLOBphase_10,fluid_supercritical_or_subcritical_phases,Fluid (supercritical or subcritical phases),1724
GLOBphase_11,glass,Glass,1187
GLOBphase_12,crystal_of_intercomponent_compound_1,Crystal of intercomponent compound 1,1160
GLOBphase_13,crystal_3,Crystal 3,742
GLOBphase_14,crystal_of_intercomponent_compound_2,Crystal of intercomponent compound 2,428
GLOBphase_15,metastable_liquid,Metastable liquid,338
GLOBphase_16,metastable_crystal,Metastable crystal,298
GLOBphase_17,solution_1,Solution 1,229
GLOBphase_18,crystal_4,Crystal 4,146
GLOBphase_19,nematic_liquid_crystal,Nematic liquid crystal,143
GLOBphase_20,liquid_mixture_3,Liquid mixture 3,141
GLOBphase_21,crystal_of_intercomponent_compound_3,Crystal of intercomponent compound 3,101
GLOBphase_22,crystal_of_unknown_type,Crystal of unknown type,86
GLOBphase_23,smectic_liquid_crystal,Smectic liquid crystal,66
GLOBphase_24,liquid_crystal_of_unknown_type,Liquid crystal of unknown type,25
GLOBphase_25,cholesteric_liquid_crystal,Cholesteric liquid crystal,9
GLOBphase_26,crystal_5,Crystal 5,8
GLOBphase_27,solution_2,Solution 2,6
