var_num_id,var_id,var_name,var_type_key,comp_id_linked,n_blocks
GLOBvar_1,temperature_k,"Temperature, K",eTemperature,0,88800
GLOBvar_2,mole_fraction_{DOIcomp_id},Mole fraction,eComponentComposition,1,32453
GLOBvar_3,pressure_kpa,"Pressure, kPa",ePressure,0,23622
GLOBvar_4,molality_mol_kg_{DOIcomp_id},"Molality, mol/kg",eComponentComposition,1,8702
GLOBvar_5,mass_fraction_{DOIcomp_id},Mass fraction,eComponentComposition,1,7097
GLOBvar_6,solvent_molality_mol_kg_{DOIcomp_id},"Solvent: Molality, mol/kg",eSolventComposition,1,1751
GLOBvar_7,solvent_mass_fraction_{DOIcomp_id},Solvent: Mass fraction,eSolventComposition,1,1634
GLOBvar_8,solvent_mole_fraction_{DOIcomp_id},Solvent: Mole fraction,eSolventComposition,1,1621
GLOBvar_9,amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Amount concentration (molarity), mol/dm3",eComponentComposition,1,1286
GLOBvar_10,pressure_kpa_{DOIcomp_id},"Pressure, kPa",ePressure,1,221
GLOBvar_11,solvent_amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Solvent: Amount concentration (molarity), mol/dm3",eSolventComposition,1,221
GLOBvar_12,final_molality_of_solute_mol_kg,"Final molality of solute, mol/kg",eComponentComposition,0,192
GLOBvar_13,initial_molality_of_solute_mol_kg,"Initial molality of solute, mol/kg",eComponentComposition,0,169
GLOBvar_14,solvent_amount_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Amount ratio of component to other component of binary solvent,eSolventComposition,1,133
GLOBvar_15,mass_ratio_of_solute_to_solvent_{DOIcomp_id},Mass ratio of solute to solvent,eComponentComposition,1,116
GLOBvar_16,solvent_volume_fraction_{DOIcomp_id},Solvent: Volume fraction,eSolventComposition,1,107
GLOBvar_17,frequency_mhz,"Frequency, MHz",eMiscellaneous,0,85
GLOBvar_18,volume_fraction_{DOIcomp_id},Volume fraction,eComponentComposition,1,81
GLOBvar_19,amount_ratio_of_solute_to_solvent_{DOIcomp_id},Amount ratio of solute to solvent,eComponentComposition,1,79
GLOBvar_20,ratio_of_amount_of_solute_to_mass_of_solution_mol_kg_{DOIcomp_id},"Ratio of amount of solute to mass of solution, mol/kg",eComponentComposition,1,74
GLOBvar_21,mass_density_kg_m3,"Mass density, kg/m3",eMiscellaneous,0,49
GLOBvar_22,wavelength_nm,"Wavelength, nm",eMiscellaneous,0,41
GLOBvar_23,solvent_mass_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Mass ratio of component to other component of binary solvent,eSolventComposition,1,38
GLOBvar_24,ratio_of_mass_of_solute_to_volume_of_solution_kg_m3_{DOIcomp_id},"Ratio of mass of solute to volume of solution, kg/m3",eComponentComposition,1,31
GLOBvar_25,solvent_volume_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Volume ratio of component to other component of binary solvent,eSolventComposition,1,29
GLOBvar_26,solvent_ratio_of_component_mass_to_volume_of_solvent_kg_m3_{DOIcomp_id},"Solvent: Ratio of component mass to volume of solvent, kg/m3",eSolventComposition,1,14
GLOBvar_27,lower_temperature_k,"Lower temperature, K",eTemperature,0,10
GLOBvar_28,upper_temperature_k,"Upper temperature, K",eTemperature,0,10
GLOBvar_29,solvent_ratio_of_amount_of_component_to_mass_of_solvent_mol_kg_{DOIcomp_id},"Solvent: Ratio of amount of component to mass of solvent, mol/kg",eSolventComposition,1,8
GLOBvar_30,amount_density_mol_m3,"Amount density, mol/m3",eMiscellaneous,0,3
GLOBvar_31,final_mole_fraction_of_solute,Final mole fraction of solute,eComponentComposition,0,2
GLOBvar_32,initial_mass_fraction_of_solute,Initial mass fraction of solute,eComponentComposition,0,2
GLOBvar_33,initial_mole_fraction_of_solute,Initial mole fraction of solute,eComponentComposition,0,2
GLOBvar_34,specific_volume_m3_kg,"Specific volume, m3/kg",eMiscellaneous,0,2
GLOBvar_35,volume_ratio_of_solute_to_solvent_{DOIcomp_id},Volume ratio of solute to solvent,eComponentComposition,1,2
