quantity_key,preferred_name,component_linked,available_roles,role_count,translation_status,equivalence_basis,prop_num_id,prop_name,prop_group,var_num_id,var_name,var_type_key,constr_num_id,constr_name,constr_type_key
2nd_virial_coefficient_m3_mol,"2nd virial coefficient, m3/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_94,"2nd virial coefficient, m3/mol",VolumetricProp,,,,,,
3rd_virial_coefficient_m6_mol2,"3rd virial coefficient, m6/mol2",0,property,1,single_role,exact_canonical_template,GLOBprop_95,"3rd virial coefficient, m6/mol2",VolumetricProp,,,,,,
activity_coefficient_{DOIcomp_id},Activity coefficient,1,property,1,single_role,exact_canonical_template,GLOBprop_3,Activity coefficient,ActivityFugacityOsmoticProp,,,,,,
amount_concentration_molarity_mol_dm3,"Amount concentration (molarity), mol/dm3",0,property,1,single_role,exact_canonical_template,GLOBprop_47,"Amount concentration (molarity), mol/dm3",CompositionAtPhaseEquilibrium,,,,,,
amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Amount concentration (molarity), mol/dm3",1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_32,"Amount concentration (molarity), mol/dm3",CompositionAtPhaseEquilibrium,GLOBvar_9,"Amount concentration (molarity), mol/dm3",eComponentComposition,GLOBconstr_12,"Amount concentration (molarity), mol/dm3",eComponentComposition
amount_density_mol_m3,"Amount density, mol/m3",0,property|variable,2,cross_role_exact,exact_canonical_template,GLOBprop_67,"Amount density, mol/m3",VolumetricProp,GLOBvar_30,"Amount density, mol/m3",eMiscellaneous,,,
amount_ratio_of_solute_to_solvent,Amount ratio of solute to solvent,0,property,1,single_role,exact_canonical_template,GLOBprop_104,Amount ratio of solute to solvent,CompositionAtPhaseEquilibrium,,,,,,
amount_ratio_of_solute_to_solvent_{DOIcomp_id},Amount ratio of solute to solvent,1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_77,Amount ratio of solute to solvent,CompositionAtPhaseEquilibrium,GLOBvar_19,Amount ratio of solute to solvent,eComponentComposition,GLOBconstr_13,Amount ratio of solute to solvent,eComponentComposition
apparent_molar_enthalpy_kj_mol,"Apparent molar enthalpy, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_90,"Apparent molar enthalpy, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
apparent_molar_heat_capacity_j_k_mol,"Apparent molar heat capacity, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_64,"Apparent molar heat capacity, J/K/mol",ExcessPartialApparentEnergyProp,,,,,,
apparent_molar_volume_m3_mol,"Apparent molar volume, m3/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_61,"Apparent molar volume, m3/mol",VolumetricProp,,,,,,
azeotropic_composition_mole_fraction_{DOIcomp_id},Azeotropic composition: mole fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_45,Azeotropic composition: mole fraction,CompositionAtPhaseEquilibrium,,,,,,
azeotropic_pressure_kpa,"Azeotropic pressure, kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_62,"Azeotropic pressure, kPa",VaporPBoilingTAzeotropTandP,,,,,,
azeotropic_temperature_k,"Azeotropic temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_58,"Azeotropic temperature, K",VaporPBoilingTAzeotropTandP,,,,,,
binary_diffusion_coefficient_m2_s,"Binary diffusion coefficient, m2/s",0,property,1,single_role,exact_canonical_template,GLOBprop_29,"Binary diffusion coefficient, m2/s",TransportProp,,,,,,
boiling_temperature_at_pressure_p_k,"Boiling temperature at pressure P, K",0,property,1,single_role,exact_canonical_template,GLOBprop_14,"Boiling temperature at pressure P, K",VaporPBoilingTAzeotropTandP,,,,,,
compressibility_factor,Compressibility factor,0,property,1,single_role,exact_canonical_template,GLOBprop_98,Compressibility factor,VolumetricProp,,,,,,
critical_density_kg_m3,"Critical density, kg/m3",0,property,1,single_role,exact_canonical_template,GLOBprop_54,"Critical density, kg/m3",Criticals,,,,,,
critical_molar_volume_m3_mol,"Critical molar volume, m3/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_88,"Critical molar volume, m3/mol",Criticals,,,,,,
critical_pressure_kpa,"Critical pressure, kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_25,"Critical pressure, kPa",Criticals,,,,,,
critical_temperature_k,"Critical temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_23,"Critical temperature, K",Criticals,,,,,,
electrical_conductivity_s_m,"Electrical conductivity, S/m",0,property,1,single_role,exact_canonical_template,GLOBprop_18,"Electrical conductivity, S/m",TransportProp,,,,,,
equilibrium_constant_in_terms_of_mole_fraction,Equilibrium constant in terms of mole fraction,0,property,1,single_role,exact_canonical_template,GLOBprop_87,Equilibrium constant in terms of mole fraction,ReactionEquilibriumProp,,,,,,
equilibrium_constant_in_terms_of_partial_pressure_kpan,"Equilibrium constant in terms of partial pressure, kPa^n",0,property,1,single_role,exact_canonical_template,GLOBprop_96,"Equilibrium constant in terms of partial pressure, kPa^n",ReactionEquilibriumProp,,,,,,
eutectic_composition_mass_fraction_{DOIcomp_id},Eutectic composition: mass fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_78,Eutectic composition: mass fraction,CompositionAtPhaseEquilibrium,,,,,,
eutectic_composition_mole_fraction_{DOIcomp_id},Eutectic composition: mole fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_48,Eutectic composition: mole fraction,CompositionAtPhaseEquilibrium,,,,,,
eutectic_temperature_k,"Eutectic temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_31,"Eutectic temperature, K",PhaseTransition,,,,,,
