prop_num_id,prop_id,prop_name,prop_group,comp_id_linked,n_blocks
GLOBprop_1,mass_density_kg_m3,"Mass density, kg/m3",VolumetricProp,0,23070
GLOBprop_2,mole_fraction_{DOIcomp_id},Mole fraction,CompositionAtPhaseEquilibrium,1,20920
GLOBprop_3,activity_coefficient_{DOIcomp_id},Activity coefficient,ActivityFugacityOsmoticProp,1,9696
GLOBprop_4,viscosity_pa_s,"Viscosity, Pa*s",TransportProp,0,8475
GLOBprop_5,vapor_or_sublimation_pressure_kpa,"Vapor or sublimation pressure, kPa",VaporPBoilingTAzeotropTandP,0,8067
GLOBprop_6,mass_fraction_{DOIcomp_id},Mass fraction,CompositionAtPhaseEquilibrium,1,7072
GLOBprop_7,refractive_index_na_dline,Refractive index (Na D-line),RefractionSurfaceTensionSoundSpeed,0,6772
GLOBprop_8,speed_of_sound_m_s,"Speed of sound, m/s",RefractionSurfaceTensionSoundSpeed,0,5781
GLOBprop_9,molar_heat_capacity_at_constant_pressure_j_k_mol,"Molar heat capacity at constant pressure, J/K/mol",HeatCapacityAndDerivedProp,0,3113
GLOBprop_10,molar_enthalpy_of_transition_or_fusion_kj_mol,"Molar enthalpy of transition or fusion, kJ/mol",PhaseTransition,0,2891
GLOBprop_11,solidliquid_equilibrium_temperature_k,"Solid-liquid equilibrium temperature, K",PhaseTransition,0,2786
GLOBprop_12,normal_melting_temperature_k,"Normal melting temperature, K",PhaseTransition,0,2756
GLOBprop_13,surface_tension_liquidgas_n_m,"Surface tension liquid-gas, N/m",RefractionSurfaceTensionSoundSpeed,0,2525
GLOBprop_14,boiling_temperature_at_pressure_p_k,"Boiling temperature at pressure P, K",VaporPBoilingTAzeotropTandP,0,2438
GLOBprop_15,molar_enthalpy_of_solution_kj_mol,"Molar enthalpy of solution, kJ/mol",ExcessPartialApparentEnergyProp,0,1970
GLOBprop_16,triple_point_temperature_k,"Triple point temperature, K",PhaseTransition,0,1963
GLOBprop_17,excess_molar_enthalpy_molar_enthalpy_of_mixing_kj_mol,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",ExcessPartialApparentEnergyProp,0,1703
GLOBprop_18,electrical_conductivity_s_m,"Electrical conductivity, S/m",TransportProp,0,1162
GLOBprop_19,molar_enthalpy_of_vaporization_or_sublimation_kj_mol,"Molar enthalpy of vaporization or sublimation, kJ/mol",PhaseTransition,0,903
GLOBprop_20,liquidliquid_equilibrium_temperature_k,"Liquid-liquid equilibrium temperature, K",PhaseTransition,0,896
GLOBprop_21,molality_mol_kg_{DOIcomp_id},"Molality, mol/kg",CompositionAtPhaseEquilibrium,1,865
GLOBprop_22,molar_enthalpy_kj_mol,"Molar enthalpy, kJ/mol",HeatCapacityAndDerivedProp,0,760
GLOBprop_23,critical_temperature_k,"Critical temperature, K",Criticals,0,694
GLOBprop_24,specific_internal_energy_of_reaction_at_constant_volume_j_g,"Specific internal energy of reaction at constant volume, J/g",ReactionStateChangeProp,0,639
GLOBprop_25,critical_pressure_kpa,"Critical pressure, kPa",Criticals,0,606
GLOBprop_26,normal_boiling_temperature_k,"Normal boiling temperature, K",VaporPBoilingTAzeotropTandP,0,590
GLOBprop_27,henrys_law_constant_mole_fraction_scale_kpa_{DOIcomp_id},"Henry's Law constant (mole fraction scale), kPa",CompositionAtPhaseEquilibrium,1,549
GLOBprop_28,excess_molar_volume_m3_mol,"Excess molar volume, m3/mol",VolumetricProp,0,546
GLOBprop_29,binary_diffusion_coefficient_m2_s,"Binary diffusion coefficient, m2/s",TransportProp,0,540
GLOBprop_30,molar_entropy_j_k_mol,"Molar entropy, J/K/mol",HeatCapacityAndDerivedProp,0,521
GLOBprop_31,eutectic_temperature_k,"Eutectic temperature, K",PhaseTransition,0,518
GLOBprop_32,amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Amount concentration (molarity), mol/dm3",CompositionAtPhaseEquilibrium,1,517
GLOBprop_33,relative_activity_{DOIcomp_id},(Relative) activity,ActivityFugacityOsmoticProp,1,496
GLOBprop_34,thermal_conductivity_w_m_k,"Thermal conductivity, W/m/K",TransportProp,0,484
GLOBprop_35,mass_ratio_of_solute_to_solvent_{DOIcomp_id},Mass ratio of solute to solvent,CompositionAtPhaseEquilibrium,1,377
GLOBprop_36,molar_enthalpy_of_reaction_kj_mol,"Molar enthalpy of reaction, kJ/mol",ReactionStateChangeProp,0,376
GLOBprop_37,molar_conductivity_s_m2_mol,"Molar conductivity, S*m2/mol",TransportProp,0,310
GLOBprop_38,osmotic_coefficient,Osmotic coefficient,ActivityFugacityOsmoticProp,0,299
GLOBprop_39,refractive_index_other_wavelength,Refractive index (other wavelength),RefractionSurfaceTensionSoundSpeed,0,287
GLOBprop_40,kinematic_viscosity_m2_s,"Kinematic viscosity, m2/s",TransportProp,0,283
GLOBprop_41,molar_volume_m3_mol,"Molar volume, m3/mol",VolumetricProp,0,282
GLOBprop_42,relative_permittivity_at_various_frequencies,Relative permittivity at various frequencies,RefractionSurfaceTensionSoundSpeed,0,280
GLOBprop_43,molar_heat_capacity_at_saturation_pressure_j_k_mol,"Molar heat capacity at saturation pressure, J/K/mol",HeatCapacityAndDerivedProp,0,271
GLOBprop_44,relative_permittivity_at_zero_frequency,Relative permittivity at zero frequency,RefractionSurfaceTensionSoundSpeed,0,264
GLOBprop_45,azeotropic_composition_mole_fraction_{DOIcomp_id},Azeotropic composition: mole fraction,CompositionAtPhaseEquilibrium,1,247
GLOBprop_46,molar_enthalpy_of_dilution_kj_mol,"Molar enthalpy of dilution, kJ/mol",ExcessPartialApparentEnergyProp,0,246
GLOBprop_47,amount_concentration_molarity_mol_dm3,"Amount concentration (molarity), mol/dm3",CompositionAtPhaseEquilibrium,0,238
GLOBprop_48,eutectic_composition_mole_fraction_{DOIcomp_id},Eutectic composition: mole fraction,CompositionAtPhaseEquilibrium,1,228
GLOBprop_49,interfacial_tension_n_m,"Interfacial tension, N/m",RefractionSurfaceTensionSoundSpeed,0,210
GLOBprop_50,molar_enthalpy_function_hm_t_hm_0_t_j_k_mol,"Molar enthalpy function {Hm(T)-Hm(0)}/T, J/K/mol",HeatCapacityAndDerivedProp,0,210
GLOBprop_51,mass_concentration_kg_m3_{DOIcomp_id},"Mass concentration, kg/m3",CompositionAtPhaseEquilibrium,1,138
GLOBprop_52,thermal_diffusivity_m2_s,"Thermal diffusivity, m2/s",TransportProp,0,138
GLOBprop_53,molality_mol_kg,"Molality, mol/kg",CompositionAtPhaseEquilibrium,0,109
GLOBprop_54,critical_density_kg_m3,"Critical density, kg/m3",Criticals,0,107
GLOBprop_55,henrys_law_constant_molality_scale_kpa_kg_mol_{DOIcomp_id},"Henry's Law constant (molality scale), kPa*kg/mol",CompositionAtPhaseEquilibrium,1,95
GLOBprop_56,mean_ionic_activity_coefficient_{DOIcomp_id},Mean ionic activity coefficient,ActivityFugacityOsmoticProp,1,94
GLOBprop_57,upper_consolute_temperature_k,"Upper consolute temperature, K",Criticals,0,89
GLOBprop_58,azeotropic_temperature_k,"Azeotropic temperature, K",VaporPBoilingTAzeotropTandP,0,85
GLOBprop_59,isobaric_coefficient_of_expansion_1_k,"Isobaric coefficient of expansion, 1/K",VolumetricProp,0,82
GLOBprop_60,thermodynamic_equilibrium_constant,Thermodynamic equilibrium constant,ReactionEquilibriumProp,0,79
GLOBprop_61,apparent_molar_volume_m3_mol,"Apparent molar volume, m3/mol",VolumetricProp,0,77
GLOBprop_62,azeotropic_pressure_kpa,"Azeotropic pressure, kPa",VaporPBoilingTAzeotropTandP,0,73
GLOBprop_63,heat_capacity_at_constant_pressure_per_volume_j_k_m3,"Heat capacity at constant pressure per volume, J/K/m3",HeatCapacityAndDerivedProp,0,71
GLOBprop_64,apparent_molar_heat_capacity_j_k_mol,"Apparent molar heat capacity, J/K/mol",ExcessPartialApparentEnergyProp,0,70
GLOBprop_65,molar_gibbs_energy_of_reaction_kj_mol,"Molar Gibbs energy of reaction, kJ/mol",ReactionStateChangeProp,0,68
GLOBprop_66,mass_concentration_kg_m3,"Mass concentration, kg/m3",CompositionAtPhaseEquilibrium,0,66
GLOBprop_67,amount_density_mol_m3,"Amount density, mol/m3",VolumetricProp,0,62
GLOBprop_68,molar_internal_energy_of_reaction_at_constant_volume_kj_mol,"Molar internal energy of reaction at constant volume, kJ/mol",ReactionStateChangeProp,0,62
GLOBprop_69,henrys_law_constant_amount_concentration_scale_kpa_dm3_mol_{DOIcomp_id},"Henry's Law constant (amount concentration scale), kPa*dm3/mol",CompositionAtPhaseEquilibrium,1,55
GLOBprop_70,quadruple_quintuple_point_temperature_k,"Quadruple (quintuple) point temperature, K",PhaseTransition,0,55
GLOBprop_71,tracer_diffusion_coefficient_m2_s_{DOIcomp_id},"Tracer diffusion coefficient, m2/s",TransportProp,1,54
GLOBprop_72,molar_heat_capacity_at_constant_volume_j_k_mol,"Molar heat capacity at constant volume, J/K/mol",HeatCapacityAndDerivedProp,0,53
GLOBprop_73,fugacity_coefficient_{DOIcomp_id},Fugacity coefficient,ActivityFugacityOsmoticProp,1,49
GLOBprop_74,specific_volume_m3_kg,"Specific volume, m3/kg",VolumetricProp,0,48
GLOBprop_75,partial_molar_enthalpy_kj_mol_{DOIcomp_id},"Partial molar enthalpy, kJ/mol",ExcessPartialApparentEnergyProp,1,41
GLOBprop_76,upper_consolute_composition_mole_fraction_{DOIcomp_id},Upper consolute composition: mole fraction,CompositionAtPhaseEquilibrium,1,41
GLOBprop_77,amount_ratio_of_solute_to_solvent_{DOIcomp_id},Amount ratio of solute to solvent,CompositionAtPhaseEquilibrium,1,40
GLOBprop_78,eutectic_composition_mass_fraction_{DOIcomp_id},Eutectic composition: mass fraction,CompositionAtPhaseEquilibrium,1,38
GLOBprop_79,mass_ratio_of_solute_to_solvent,Mass ratio of solute to solvent,CompositionAtPhaseEquilibrium,0,36
GLOBprop_80,partial_pressure_kpa_{DOIcomp_id},"Partial pressure, kPa",CompositionAtPhaseEquilibrium,1,35
GLOBprop_81,specific_heat_capacity_at_constant_pressure_j_k_kg,"Specific heat capacity at constant pressure, J/K/kg",HeatCapacityAndDerivedProp,0,34
GLOBprop_82,monotectic_temperature_k,"Monotectic temperature, K",PhaseTransition,0,29
