lit_num_id,doi,lit_id,first_author,year,journal,n_compounds,n_blocks,total_datapoints
GLOBlit_1,10.1007/s10765-005-5566-6,2005-pat-klo-0,"Patek, J.",2005,Int. J. Thermophys.,2,2,257
GLOBlit_2,10.1007/s10765-005-5567-5,2005-abd-azi-1,"Abdulagatov, I. M.[Ilmutdin M.]",2005,Int. J. Thermophys.,2,4,321
GLOBlit_3,10.1007/s10765-005-5568-4,2005-kha-dez-0,"Khayet, M.",2005,Int. J. Thermophys.,4,4,20
GLOBlit_4,10.1007/s10765-005-5570-x,2005-gar-gil-0,"Garcia-Gimenez, P.",2005,Int. J. Thermophys.,5,14,445
GLOBlit_5,10.1007/s10765-005-5571-9,2005-per-inf-1,"Peralta, R. D.",2005,Int. J. Thermophys.,5,9,97
GLOBlit_6,10.1007/s10765-005-5572-8,2005-tri--0,"Tripathi, N.[Neelima]",2005,Int. J. Thermophys.,5,26,183
GLOBlit_7,10.1007/s10765-005-5585-3,2005-ish-par-0,"Ishikawa, T.[Takeshi]",2005,Int. J. Thermophys.,1,3,42
GLOBlit_8,10.1007/s10765-005-8089-2,2005-zeb-bay-0,"Zeberg-Mikkelsen, C. K.[Claus K.]",2005,Int. J. Thermophys.,3,3,231
GLOBlit_9,10.1007/s10765-005-8091-8,2005-abd-pol-0,"Abdulagatov, I. M.[Ilmutdin M.]",2005,Int. J. Thermophys.,1,5,135
GLOBlit_10,10.1007/s10765-005-8096-3,2005-res-gon-3,"Resa, J. M.[Jose M.]",2005,Int. J. Thermophys.,9,17,769
GLOBlit_11,10.1007/s10765-005-8101-x,2005-sav-ara-0,"Savaroglu, G.[Gokhan]",2005,Int. J. Thermophys.,5,18,90
GLOBlit_12,10.1007/s10765-005-8102-9,2005-ali-hyd-0,"Ali, A.",2005,Int. J. Thermophys.,4,21,111
GLOBlit_13,10.1007/s10765-005-8587-2,2005-ben-gav-0,"Benedetto, G.",2005,Int. J. Thermophys.,1,1,90
GLOBlit_14,10.1007/s10765-005-8590-7,2005-ogu-ibu-0,"Oguchi, K.",2005,Int. J. Thermophys.,2,2,319
GLOBlit_15,10.1007/s10765-005-8591-6,2005-miy-ogu-1,"Miyazaki, T.",2005,Int. J. Thermophys.,2,3,116
GLOBlit_16,10.1007/s10765-005-8592-5,2005-kit-kag-0,"Kitajima, H.",2005,Int. J. Thermophys.,2,4,214
GLOBlit_17,10.1007/s10765-006-0018-5,2006-rat-kap-0,"Rattam, V. K.",2006,Int. J. Thermophys.,2,8,38
GLOBlit_18,10.1007/s10765-006-0020-y,2006-tom-kum-0,"Tomida, D.",2006,Int. J. Thermophys.,2,4,80
GLOBlit_19,10.1007/s10765-006-0033-6,2006-din-giu-0,"Di Nicola, G.",2006,Int. J. Thermophys.,2,1,177
GLOBlit_20,10.1007/s10765-006-0044-3,2006-tev-buc-0,"Tevault, D. E.",2006,Int. J. Thermophys.,2,1,71
GLOBlit_21,10.1007/s10765-006-0045-2,2006-mil-mag-1,"Milosevic, N. D.",2006,Int. J. Thermophys.,1,13,137
GLOBlit_22,10.1007/s10765-006-0047-0,2006-pal-kum-2,"Pal, A.[Amalendu]",2006,Int. J. Thermophys.,8,23,196
GLOBlit_23,10.1007/s10765-006-0051-4,2006-yok-nis-0,"Yokoyama, C.",2006,Int. J. Thermophys.,2,1,246
GLOBlit_24,10.1007/s10765-006-0052-3,2006-yok-tak-0,"Yokoyama, C.",2006,Int. J. Thermophys.,3,2,238
GLOBlit_25,10.1007/s10765-006-0053-2,2006-kum-tom-0,"Kumagai, A.",2006,Int. J. Thermophys.,4,14,576
GLOBlit_26,10.1007/s10765-006-0056-z,2006-pol-bat-0,"Polikhronidi, N. G.",2006,Int. J. Thermophys.,2,8,304
GLOBlit_27,10.1007/s10765-006-0057-y,2006-per-ass-0,"Peralta-Martinez, M. V.",2006,Int. J. Thermophys.,4,4,34
GLOBlit_28,10.1007/s10765-006-0063-0,2006-rom-guz-0,"Romero, C. M.",2006,Int. J. Thermophys.,5,16,210
GLOBlit_29,10.1007/s10765-006-0079-5,2006-lag-giu-0,"Lago, S.",2006,Int. J. Thermophys.,1,1,65
GLOBlit_30,10.1007/s10765-006-0080-z,2006-mil-mag-0,"Milosevic, N. D.",2006,Int. J. Thermophys.,1,5,75
GLOBlit_31,10.1007/s10765-006-0082-x,2006-cor-din-1,"Corvaro, F.[Francesco]",2006,Int. J. Thermophys.,2,3,172
GLOBlit_32,10.1007/s10765-006-0088-4,2006-miy-uem-1,"Miyamoto, H.",2006,Int. J. Thermophys.,1,5,71
GLOBlit_33,10.1007/s10765-006-0092-8,2006-sta-kha-0,"Stankus, S. V.",2006,Int. J. Thermophys.,1,2,33
GLOBlit_34,10.1007/s10765-006-0093-7,2006-bei-ram-0,"Beirao, S. G. S.",2006,Int. J. Thermophys.,1,1,53
GLOBlit_35,10.1007/s10765-006-0095-5,2006-ali-cha-0,"Ali, A.",2006,Int. J. Thermophys.,3,10,374
GLOBlit_36,10.1007/s10765-006-0096-4,2006-roy-gur-0,"Roy, M. N.[Mahendra Nath]",2006,Int. J. Thermophys.,5,6,375
GLOBlit_37,10.1007/s10765-006-0100-z,2006-gin-gas-1,"Giner, B.",2006,Int. J. Thermophys.,5,18,228
GLOBlit_38,10.1007/s10765-006-0110-x,2006-lop-dar-0,"Lopez, E. R.",2006,Int. J. Thermophys.,2,2,154
GLOBlit_39,10.1007/s10765-006-0114-6,2006-goo-fit-0,"Goodwin, A. R. H.",2006,Int. J. Thermophys.,1,2,86
GLOBlit_40,10.1007/s10765-006-0119-1,2006-nun-lou-0,"Nunes, V. M. B.",2006,Int. J. Thermophys.,1,1,14
GLOBlit_41,10.1007/s10765-006-0122-6,2006-fro-bot-0,"Froba, A. P.[A. P.]",2006,Int. J. Thermophys.,1,7,105
GLOBlit_42,10.1007/s10765-006-0124-4,2006-bil-atk-0,"Bilek, J.",2006,Int. J. Thermophys.,2,2,18
GLOBlit_43,10.1007/s10765-007-0151-9,2007-hay-yam-0,"Hayashi, M.",2007,Int. J. Thermophys.,4,4,43
GLOBlit_44,10.1007/s10765-007-0169-z,2007-gin-ban-1,"Giner, B.",2007,Int. J. Thermophys.,6,20,194
GLOBlit_45,10.1007/s10765-007-0182-2,2007-bil-atk-0,"Bilek, J.[Jaromir]",2007,Int. J. Thermophys.,1,1,3
GLOBlit_46,10.1007/s10765-007-0185-z,2007-jou-mat-0,"Jou, F.-Y.[Fang-Yuan]",2007,Int. J. Thermophys.,2,3,39
GLOBlit_47,10.1007/s10765-007-0186-y,2007-kag-mat-0,"Kagawa, N.",2007,Int. J. Thermophys.,1,1,10
GLOBlit_48,10.1007/s10765-007-0204-0,2007-nai--3,"Nain, A. K.[Anil Kumar]",2007,Int. J. Thermophys.,5,9,534
GLOBlit_49,10.1007/s10765-007-0220-0,2007-roy-dak-0,"Roy, M. N.[Mahendra Nath]",2007,Int. J. Thermophys.,3,5,150
GLOBlit_50,10.1007/s10765-007-0223-x,2007-gon-igl-0,"Gonzalez-Olmos, R.",2007,Int. J. Thermophys.,6,22,2017
GLOBlit_51,10.1007/s10765-007-0237-4,2007-kha-sta-0,"Khairulin, R. A.",2007,Int. J. Thermophys.,2,4,40
GLOBlit_52,10.1007/s10765-007-0241-8,2007-tom-ken-0,"Tomida, D.",2007,Int. J. Thermophys.,5,8,66
GLOBlit_53,10.1007/s10765-007-0259-y,2007-kum-tom-0,"Kumagai, A.",2007,Int. J. Thermophys.,2,4,192
GLOBlit_54,10.1007/s10765-007-0346-0,2008-ban-lah-0,"Bandres, I.",2008,Int. J. Thermophys.,6,15,333
GLOBlit_55,10.1007/s10765-007-0369-6,2008-gru-kha-0,"Gruzdev, V. A.",2008,Int. J. Thermophys.,1,5,216
GLOBlit_56,10.1007/s10765-008-0390-4,2008-smi-kij-0,"Smiljanic, J. D.[Jelena D.]",2008,Int. J. Thermophys.,3,6,594
GLOBlit_57,10.1007/s10765-008-0395-z,2008-she-zaf-0,"Shekaari, H.[Hemayat]",2008,Int. J. Thermophys.,6,17,63
GLOBlit_58,10.1007/s10765-008-0399-8,2008-sas-tha-0,"Sastry, N. V.[Nandhibatla V.]",2008,Int. J. Thermophys.,5,27,392
GLOBlit_59,10.1007/s10765-008-0410-4,2008-abd-tek-0,"Abdulagatov, I. M.",2008,Int. J. Thermophys.,2,2,315
GLOBlit_60,10.1007/s10765-008-0444-7,2008-shu-sin-0,"Shukla, D.[Divya]",2008,Int. J. Thermophys.,3,10,150
GLOBlit_61,10.1007/s10765-008-0482-1,2008-mos-sen-0,"Mostert, R.",2008,Int. J. Thermophys.,2,1,221
GLOBlit_62,10.1007/s10765-008-0491-0,2008-dub-sha-3,"Dubey, G. P.[Gyan P.]",2008,Int. J. Thermophys.,3,6,288
GLOBlit_63,10.1007/s10765-008-0497-7,2008-aho-scu-0,"Ahosseini, A.[Azita]",2008,Int. J. Thermophys.,6,16,192
GLOBlit_64,10.1007/s10765-008-0503-0,2008-zhe-men-0,"Zheng, P.[Pingjun]",2008,Int. J. Thermophys.,2,4,280
GLOBlit_65,10.1007/s10765-008-0506-x,2010-tom-ken-0,"Tomida, D.",2010,Int. J. Thermophys.,4,4,54
GLOBlit_66,10.1007/s10765-008-0511-0,2010-din-giu-0,"Di Nicola, G.[Giovanni]",2010,Int. J. Thermophys.,3,6,39
GLOBlit_67,10.1007/s10765-008-0514-x,2009-riy-kha-0,Riyazudden,2009,Int. J. Thermophys.,7,20,795
GLOBlit_68,10.1007/s10765-008-0535-5,2008-mat-yam-0,"Matsuguchi, A.",2008,Int. J. Thermophys.,2,4,630
GLOBlit_69,10.1007/s10765-008-0542-6,2010-sat-yos-0,"Sato, Y.[Yoshiyuki]",2010,Int. J. Thermophys.,5,10,40
GLOBlit_70,10.1007/s10765-008-0549-z,2009-wu-zhe-0,"Wu, J.[Jiangtao]",2009,Int. J. Thermophys.,2,2,192
GLOBlit_71,10.1007/s10765-009-0562-x,2009-ali-nab-0,"Ali, A.",2009,Int. J. Thermophys.,5,36,787
GLOBlit_72,10.1007/s10765-009-0566-6,2009-she-mou-2,"Shekaari, H.[Hemayat]",2009,Int. J. Thermophys.,2,3,228
GLOBlit_73,10.1007/s10765-009-0567-5,2009-roy-ban-0,"Roy, M. N.[Mahendra Nath]",2009,Int. J. Thermophys.,3,4,168
GLOBlit_74,10.1007/s10765-009-0568-4,2009-yan-di-0,"Yang, W.-W.[Wei-Wei]",2009,Int. J. Thermophys.,5,3,156
GLOBlit_75,10.1007/s10765-009-0570-x,2009-tre--0,"Trejbal, J.[Jiri]",2009,Int. J. Thermophys.,4,6,112
GLOBlit_76,10.1007/s10765-009-0579-1,2009-tak-tom-0,"Takahashi, M.",2009,Int. J. Thermophys.,2,2,474
GLOBlit_77,10.1007/s10765-009-0580-8,2009-per-bob-0,"Pernechele, F.[Francesco]",2009,Int. J. Thermophys.,2,1,83
GLOBlit_78,10.1007/s10765-009-0581-7,2009-tsi--0,"Tsierkezos, N. G.[Nikos G.]",2009,Int. J. Thermophys.,2,6,192
GLOBlit_79,10.1007/s10765-009-0584-4,2010-san-nie-0,"Santos, F. J. V.",2010,Int. J. Thermophys.,1,2,17
GLOBlit_80,10.1007/s10765-009-0593-3,2009-pal-gab-1,"Pal, A.[Amalendu]",2009,Int. J. Thermophys.,4,14,580
GLOBlit_81,10.1007/s10765-009-0602-6,2009-pol-abd-0,"Polikhronidi, N. G.",2009,Int. J. Thermophys.,2,3,698
GLOBlit_82,10.1007/s10765-009-0607-1,2010-dzi--1,"Dzida, M.[Marzena]",2010,Int. J. Thermophys.,1,4,75
