solvent_num_id,comp_num_id,inchi_key,common_name,formula,n_blocks_as_solvent
GLOBsolvent_1,GLOBcomp_1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,H2O,10892
GLOBsolvent_2,GLOBcomp_2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,C2H6O,1011
GLOBsolvent_3,GLOBcomp_4,OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,CH4O,818
GLOBsolvent_4,GLOBcomp_18,ZMXDDKWLCZADIW-UHFFFAOYSA-N,dimethylformamide,C3H7NO,397
GLOBsolvent_5,GLOBcomp_15,WEVYAHXRMPXWCK-UHFFFAOYSA-N,acetonitrile,C2H3N,370
GLOBsolvent_6,GLOBcomp_6,KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,C3H8O,335
GLOBsolvent_7,GLOBcomp_9,CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,C3H6O,305
GLOBsolvent_8,GLOBcomp_31,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,C2H6OS,272
GLOBsolvent_9,GLOBcomp_5,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,C3H8O,270
GLOBsolvent_10,GLOBcomp_26,FAPWRFPIFSIZLT-UHFFFAOYSA-M,sodium chloride,ClNa,257
GLOBsolvent_11,GLOBcomp_10,XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl acetate,C4H8O2,245
GLOBsolvent_12,GLOBcomp_24,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",C2H6O2,243
GLOBsolvent_13,GLOBcomp_14,UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,C6H6,229
GLOBsolvent_14,GLOBcomp_13,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,C6H12,193
GLOBsolvent_15,GLOBcomp_100,SGMZJAMFUVOLNK-UHFFFAOYSA-M,choline chloride,C5H14ClNO,176
GLOBsolvent_16,GLOBcomp_7,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,C4H10O,137
